time,amplitude,frequency,power
4.6175625,-0.56726784,0.0,0.3217928
4.617625,-0.6009346,0.0,0.36112243
4.6176875,-0.7602514,0.0,0.5779822
4.61775,-0.7486013,0.0,0.56040394
4.6178125,-0.8157046,0.0,0.665374
4.617875,-0.71414465,0.0,0.51000255
4.6179375,-0.61725795,0.0,0.38100737
4.618,-0.5998157,0.0,0.3597789
4.6180625,-0.46857107,0.0,0.21955885
4.618125,-0.24290791,0.0,0.059004255
4.6181875,0.028861975,0.0,0.0008330136
4.61825,0.1709998,0.0,0.02924093
4.6183125,0.43210688,0.0,0.18671636
4.618375,0.51915354,0.0,0.2695204
4.6184375,0.6936418,0.0,0.4811389
4.6185,0.73514116,0.0,0.5404325
4.6185625,0.7714737,0.0,0.5951717
4.618625,0.76308167,0.0,0.5822936
4.6186875,0.79477394,0.0,0.6316656
4.61875,0.7365234,0.0,0.5424667
4.6188125,0.49940762,0.0,0.24940798
4.618875,0.4467518,0.0,0.19958717
4.6189375,0.37115777,0.0,0.13775809
4.619,0.17580464,0.0,0.030907273
4.6190625,0.09961825,0.0,0.009923795
4.619125,0.13249522,0.0,0.017554985
4.6191875,0.0,0.0,0.0
4.61925,0.09807148,0.0,0.009618015
4.6193125,0.023826763,0.0,0.0005677146
4.619375,0.019548476,0.0,0.0003821429
4.6194375,-0.07338906,0.0,0.0053859544
4.6195,-0.099486604,0.0,0.009897584
4.6195625,-0.054005135,0.0,0.0029165547
4.619625,-0.28713882,0.0,0.0824487
4.6196875,-0.2512341,0.0,0.06311858
4.61975,-0.4071941,0.0,0.16580704
4.6198125,-0.49078524,0.0,0.24087015
4.619875,-0.6496084,0.0,0.42199105
4.6199375,-0.7452116,0.0,0.55534035
4.62,-0.7988547,0.0,0.6381689
4.6200625,-0.7900678,0.0,0.62420714
4.620125,-0.7099651,0.0,0.50405043
4.6201875,-0.6976568,0.0,0.48672503
4.62025,-0.6061673,0.0,0.36743882
4.6203125,-0.46449023,0.0,0.21575117
4.620375,-0.22941487,0.0,0.05263118
4.6204375,-0.07832555,0.0,0.0061348914
4.6205,0.10926084,0.0,0.011937931
4.6205625,0.335648,0.0,0.11265958
4.620625,0.5901402,0.0,0.34826547
4.6206875,0.5764826,0.0,0.3323322
4.62075,0.69449747,0.0,0.48232672
4.6208125,0.8116567,0.0,0.6587866
4.620875,0.7481406,0.0,0.5597143
4.6209375,0.74537617,0.0,0.5555856
4.621,0.7358652,0.0,0.5414975
4.6210625,0.6270651,0.0,0.39321068
4.621125,0.54442835,0.0,0.29640222
4.6211875,0.36576054,0.0,0.13378076
4.62125,0.21361811,0.0,0.045632698
4.6213125,0.13246232,0.0,0.017546266
4.621375,0.17129599,0.0,0.029342314
4.6214375,0.10452182,0.0,0.010924811
4.6215,0.044691633,0.0,0.001997342
4.6215625,0.0012176661,0.0,1.4827107e-06
4.621625,0.008852761,0.0,7.8371384e-05
4.6216875,-0.013394326,0.0,0.00017940797
4.62175,-0.19311525,0.0,0.0372935
4.6218125,-0.13433819,0.0,0.018046748
4.621875,-0.16454947,0.0,0.027076527
4.6219375,-0.28032646,0.0,0.07858292
4.622,-0.4305601,0.0,0.18538201
4.6220625,-0.4727177,0.0,0.22346203
4.622125,-0.60294217,0.0,0.36353925
4.6221875,-0.6732706,0.0,0.45329326
4.62225,-0.77631146,0.0,0.60265946
4.6223125,-0.7590996,0.0,0.5762322
4.622375,-0.91966695,0.0,0.8457873
4.6224375,-0.65158296,0.0,0.42456034
4.6225,-0.6280524,0.0,0.39444983
4.6225625,-0.48989666,0.0,0.23999873
4.622625,-0.33222535,0.0,0.11037368
4.6226875,-0.0921477,0.0,0.0084911985
4.62275,0.0008227473,0.0,6.7691315e-07
4.6228125,0.20703614,0.0,0.04286396
4.622875,0.4776871,0.0,0.22818495
4.6229375,0.6004081,0.0,0.36048985
4.623,0.6415125,0.0,0.4115383
4.6230625,0.78055686,0.0,0.609269
4.623125,0.6835385,0.0,0.46722487
4.6231875,0.834924,0.0,0.6970981
4.62325,0.7497203,0.0,0.5620805
4.6233125,0.570493,0.0,0.32546225
4.623375,0.5342263,0.0,0.28539774
4.6234375,0.42871717,0.0,0.1837984
4.6235,0.33288357,0.0,0.11081147
4.6235625,0.22043046,0.0,0.04858959
4.623625,0.20183638,0.0,0.040737923
4.6236875,0.07668005,0.0,0.00587983
4.62375,0.08388732,0.0,0.0070370818
4.6238125,-0.071019545,0.0,0.005043776
4.623875,0.02468242,0.0,0.0006092218
4.6239375,-0.028006319,0.0,0.0007843539
4.624,-0.065161586,0.0,0.0042460323
4.6240625,-0.06499704,0.0,0.004224615
4.624125,-0.18808004,0.0,0.0353741
4.6241875,-0.15918516,0.0,0.025339914
4.62425,-0.28990325,0.0,0.0840439
4.6243125,-0.45978412,0.0,0.21140143
4.624375,-0.6274929,0.0,0.39374736
4.6244375,-0.62196404,0.0,0.38683927
4.6245,-0.7481735,0.0,0.55976355
4.6245625,-0.7036464,0.0,0.4951183
4.624625,-0.8653985,0.0,0.7489146
4.6246875,-0.74902916,0.0,0.5610447
4.62475,-0.6281511,0.0,0.39457384
4.6248125,-0.6373659,0.0,0.40623525
4.624875,-0.36529982,0.0,0.13344397
4.6249375,-0.1700125,0.0,0.028904252
4.625,-0.0099058775,0.0,9.812641e-05
4.6250625,0.16882774,0.0,0.028502807
4.625125,0.39435923,0.0,0.1555192
4.6251875,0.528862,0.0,0.279695
4.62525,0.7092082,0.0,0.50297624
4.6253125,0.798032,0.0,0.63685507
4.625375,0.83874154,0.0,0.7034874
4.6254375,0.6994339,0.0,0.4892078
4.6255,0.7083525,0.0,0.5017633
4.6255625,0.7303034,0.0,0.5333431
4.625625,0.4621536,0.0,0.21358596
4.6256875,0.39514908,0.0,0.1561428
4.62575,0.3673073,0.0,0.13491465
4.6258125,0.18380176,0.0,0.033783086
4.625875,0.13924176,0.0,0.019388266
4.6259375,0.08030014,0.0,0.006448112
4.626,0.06795893,0.0,0.004618416
4.6260625,-0.009938788,0.0,9.87795e-05
4.626125,0.014974001,0.0,0.0002242207
4.6261875,-0.04077536,0.0,0.0016626299
4.62625,-0.0032909892,0.0,1.083061e-05
4.6263125,-0.06466794,0.0,0.0041819424
4.626375,-0.14210492,0.0,0.02019381
4.6264375,-0.33456197,0.0,0.11193171
4.6265,-0.39600474,0.0,0.15681975
4.6265625,-0.42322123,0.0,0.1791162
4.626625,-0.50812876,0.0,0.25819483
4.6266875,-0.62100965,0.0,0.385653
4.62675,-0.62186533,0.0,0.38671649
4.6268125,-0.719871,0.0,0.5182142
4.626875,-0.74103206,0.0,0.54912853
4.6269375,-0.71996975,0.0,0.51835644
4.627,-0.7288554,0.0,0.53123015
4.6270625,-0.6599421,0.0,0.43552357
4.627125,-0.45935628,0.0,0.21100819
4.6271875,-0.30257356,0.0,0.09155076
4.62725,0.009642598,0.0,9.29797e-05
4.6273125,-0.0024353322,0.0,5.9308427e-06
4.627375,0.37273744,0.0,0.1389332
4.6274375,0.65678275,0.0,0.43136358
4.6275,0.7056539,0.0,0.49794742
4.6275625,0.7015731,0.0,0.4922048
4.627625,0.7382018,0.0,0.5449419
4.6276875,0.79042983,0.0,0.62477934
4.62775,0.6497071,0.0,0.4221193
4.6278125,0.7309616,0.0,0.5343049
4.627875,0.55752647,0.0,0.31083578
4.6279375,0.5245837,0.0,0.27518806
4.628,0.36131772,0.0,0.1305505
4.6280625,0.28019482,0.0,0.07850914
4.628125,0.20509446,0.0,0.042063735
4.6281875,0.09984861,0.0,0.009969746
4.62825,0.06598434,0.0,0.004353933
4.6283125,0.10353452,0.0,0.010719397
4.628375,0.18890278,0.0,0.03568426
4.6284375,0.0010860264,0.0,1.1794534e-06
4.6285,0.08602646,0.0,0.007400552
4.6285625,-0.036957808,0.0,0.0013658796
4.628625,-0.0395906,0.0,0.0015674157
4.6286875,-0.18093859,0.0,0.03273877
4.62875,-0.34341472,0.0,0.117933676
4.6288125,-0.32159546,0.0,0.10342364
4.628875,-0.48061606,0.0,0.2309918
4.6289375,-0.6074837,0.0,0.36903644
4.629,-0.6765287,0.0,0.45769107
4.6290625,-0.6526361,0.0,0.4259339
4.629125,-0.90360695,0.0,0.81650555
4.6291875,-0.86141646,0.0,0.7420383
4.62925,-0.6517146,0.0,0.42473194
4.6293125,-0.65487397,0.0,0.42885992
4.629375,-0.5430461,0.0,0.29489908
4.6294375,-0.27176988,0.0,0.07385887
4.6295,-0.10277759,0.0,0.010563234
4.6295625,0.0948134,0.0,0.008989581
4.629625,0.21315737,0.0,0.045436066
4.6296875,0.5521622,0.0,0.30488306
4.62975,0.53014547,0.0,0.28105423
4.6298125,0.69874287,0.0,0.48824158
4.629875,0.7592312,0.0,0.57643205
4.6299375,0.7810834,0.0,0.61009127
4.63,0.7661423,0.0,0.586974
4.6300625,0.76169944,0.0,0.580186
4.630125,0.6229514,0.0,0.38806844
4.6301875,0.49015993,0.0,0.24025676
4.63025,0.39998683,0.0,0.15998946
4.6303125,0.33186334,0.0,0.110133275
4.630375,0.21585599,0.0,0.046593808
4.6304375,0.13456856,0.0,0.018108696
4.6305,0.10870138,0.0,0.011815989
4.6305625,0.07881919,0.0,0.006212465
4.630625,-0.050944515,0.0,0.0025953436
4.6306875,-0.105904035,0.0,0.011215664
4.63075,-0.07770026,0.0,0.00603733
4.6308125,-0.10827354,0.0,0.01172316
4.630875,-0.1689923,0.0,0.028558396
4.6309375,-0.12670308,0.0,0.016053671
4.631,-0.25830975,0.0,0.06672393
4.6310625,-0.35582176,0.0,0.12660912
4.631125,-0.40482458,0.0,0.16388294
4.6311875,-0.5367274,0.0,0.28807634
4.63125,-0.69314814,0.0,0.48045433
4.6313125,-0.7161193,0.0,0.51282686
4.631375,-0.6809386,0.0,0.46367738
4.6314375,-0.76495755,0.0,0.5851601
4.6315,-0.7074969,0.0,0.5005518
4.6315625,-0.5694728,0.0,0.32429925
4.631625,-0.5244191,0.0,0.2750154
4.6316875,-0.3057,0.0,0.09345249
4.63175,-0.26528665,0.0,0.07037701
4.6318125,-0.036628712,0.0,0.0013416625
4.631875,0.13552293,0.0,0.018366465
4.6319375,0.29049563,0.0,0.08438771
4.632,0.57240176,0.0,0.32764378
4.6320625,0.72043043,0.0,0.51902
4.632125,0.6543474,0.0,0.42817053
4.6321875,0.86786675,0.0,0.7531927
4.63225,0.81313765,0.0,0.66119283
4.6323125,0.7529125,0.0,0.56687725
4.632375,0.64523137,0.0,0.4163235
4.6324375,0.5217205,0.0,0.2721923
4.6325,0.4577108,0.0,0.20949918
4.6325625,0.38386098,0.0,0.14734925
4.632625,0.25798064,0.0,0.06655401
4.6326875,0.14151254,0.0,0.020025799
4.63275,0.08790232,0.0,0.0077268183
4.6328125,0.08247219,0.0,0.006801662
4.632875,0.026426643,0.0,0.0006983675
4.6329375,-0.017870072,0.0,0.00031933948
4.633,0.050516684,0.0,0.0025519354
4.6330625,0.03705654,0.0,0.001373187
4.633125,-0.038833674,0.0,0.0015080542
4.6331875,-0.15480813,0.0,0.023965558
4.63325,-0.29049563,0.0,0.08438771
4.6333125,-0.38744816,0.0,0.15011607
4.633375,-0.38639504,0.0,0.14930113
4.6334375,-0.58099127,0.0,0.33755085
4.6335,-0.6370697,0.0,0.4058578
4.6335625,-0.6457908,0.0,0.41704577
4.633625,-0.77795696,0.0,0.60521704
4.6336875,-0.7889818,0.0,0.62249225
4.63375,-0.6502666,0.0,0.42284665
4.6338125,-0.5490686,0.0,0.30147636
4.633875,-0.6089976,0.0,0.37087807
4.6339375,-0.5147107,0.0,0.26492712
4.634,-0.2055881,0.0,0.04226647
4.6340625,-0.05890871,0.0,0.003470236
4.634125,0.15911934,0.0,0.025318963
4.6341875,0.20608175,0.0,0.042469688
4.63425,0.64279604,0.0,0.41318676
4.6343125,0.5612124,0.0,0.31495938
4.634375,0.77733165,0.0,0.6042445
4.6344375,0.81577045,0.0,0.66548145
4.6345,0.7704864,0.0,0.5936493
4.6345625,0.77562034,0.0,0.60158694
4.634625,0.66056734,0.0,0.4363492
